order_id,customer_id,product_id,order_date,quantity,unit_price,currency,status
ORD-0001,CUST-001,PROD-A,2024-01-15,2,45000.00,USD,fulfilled
ORD-0002,CUST-002,PROD-B,2024-01-22,5,12000.00,USD,fulfilled
ORD-0003,CUST-003,PROD-C,2024-02-03,1,98000.00,EUR,fulfilled
ORD-0004,CUST-004,PROD-A,2024-02-14,3,45000.00,USD,pending
ORD-0005,CUST-005,PROD-D,2024-03-01,2,31000.00,CAD,fulfilled
ORD-0006,CUST-006,PROD-C,2024-03-18,1,98000.00,EUR,cancelled
ORD-0007,CUST-001,PROD-B,2024-04-05,4,12000.00,USD,fulfilled
ORD-0008,CUST-007,PROD-A,2024-04-20,1,45000.00,AUD,pending
ORD-0009,CUST-008,PROD-C,2024-05-02,2,98000.00,USD,fulfilled
ORD-0010,CUST-003,PROD-B,2024-05-15,3,12000.00,EUR,fulfilled
ORD-0011,CUST-009,PROD-D,2024-06-01,1,31000.00,NOK,pending
ORD-0012,CUST-010,PROD-A,2024-06-22,2,45000.00,USD,fulfilled
ORD-0013,CUST-002,PROD-C,2024-07-08,1,98000.00,USD,fulfilled
ORD-0014,CUST-005,PROD-B,2024-07-19,6,12000.00,CAD,fulfilled
ORD-0015,CUST-008,PROD-D,2024-08-03,3,31000.00,USD,cancelled
